GeoType,Geography,Label,Lower CL,Percent,Program,RSE,SubPop Group,Subpop,TimePeriod,Upper CL,Years
Accountable Communities Of Health,Better Health Together,Ate marijuana in the past 30 days (among current users),14.6,25.1,Marijuana,21.2,Better Health Together,Accountable Communities Of Health,1-year,35.5,2015
Accountable Communities Of Health,Better Health Together,Ate marijuana in the past 30 days (among current users),20.5,31.5,Marijuana,17.8,Better Health Together,Accountable Communities Of Health,1-year,42.5,2016
Accountable Communities Of Health,Better Health Together,Ate marijuana in the past 30 days (among current users),22.8,34.5,Marijuana,17.4,Better Health Together,Accountable Communities Of Health,1-year,46.2,2017
Accountable Communities Of Health,Cascade Pacific Action Alliance,Ate marijuana in the past 30 days (among current users),20,30.6,Marijuana,17.7,Cascade Pacific Action Alliance,Accountable Communities Of Health,1-year,41.2,2015
Accountable Communities Of Health,Cascade Pacific Action Alliance,Ate marijuana in the past 30 days (among current users),22.5,31.8,Marijuana,15,Cascade Pacific Action Alliance,Accountable Communities Of Health,1-year,41.1,2016
Accountable Communities Of Health,Cascade Pacific Action Alliance,Ate marijuana in the past 30 days (among current users),21.3,29.7,Marijuana,14.5,Cascade Pacific Action Alliance,Accountable Communities Of Health,1-year,38.2,2017
Accountable Communities Of Health,Greater Columbia,Ate marijuana in the past 30 days (among current users),16,28.5,Marijuana,22.4,Greater Columbia,Accountable Communities Of Health,1-year,40.9,2015
Accountable Communities Of Health,Greater Columbia,Ate marijuana in the past 30 days (among current users),12.9,26.3,Marijuana,26.1,Greater Columbia,Accountable Communities Of Health,1-year,39.8,2016
Accountable Communities Of Health,Greater Columbia,Ate marijuana in the past 30 days (among current users),12.6,22.1,Marijuana,22,Greater Columbia,Accountable Communities Of Health,1-year,31.7,2017
Accountable Communities Of Health,King,Ate marijuana in the past 30 days (among current users),22.1,27.7,Marijuana,10.3,King,Accountable Communities Of Health,1-year,33.3,2015
