"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Clackamas County, OR"	"41005"	"85+ years"	"85+"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	10	147	Unreliable
	"Clackamas County, OR"	"41005"	"85+ years"	"85+"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	10	148	Unreliable
	"Clackamas County, OR"	"41005"	"85+ years"	"85+"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	10	251	Unreliable
	"Clackamas County, OR"	"41005"	"85+ years"	"85+"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	11	244	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2000"	"2000"	"Neoplasms"	"C00-D48"	10	5077	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2015"	"2015"	"Neoplasms"	"C00-D48"	10	9569	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2016"	"2016"	"Neoplasms"	"C00-D48"	11	10013	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2018"	"2018"	"Neoplasms"	"C00-D48"	14	11109	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2000"	"2000"	"Neoplasms"	"C00-D48"	12	2971	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2002"	"2002"	"Neoplasms"	"C00-D48"	11	3325	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2004"	"2004"	"Neoplasms"	"C00-D48"	11	3762	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2006"	"2006"	"Neoplasms"	"C00-D48"	11	4265	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	10	4620	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2008"	"2008"	"Neoplasms"	"C00-D48"	10	4843	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2009"	"2009"	"Neoplasms"	"C00-D48"	17	5163	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2010"	"2010"	"Neoplasms"	"C00-D48"	18	5394	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2011"	"2011"	"Neoplasms"	"C00-D48"	13	5783	Unreliable
