"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Multnomah County, OR"	"41051"	"15-24 years"	"15-24"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	10	7298	Unreliable
	"Multnomah County, OR"	"41051"	"25-34 years"	"25-34"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	12	8709	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	13	4890	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	14	5460	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	10	5633	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2003"	"2003"	"Neoplasms"	"C00-D48"	15	5721	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2004"	"2004"	"Neoplasms"	"C00-D48"	12	5878	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	15	5878	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2005"	"2005"	"Neoplasms"	"C00-D48"	12	5917	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	12	6093	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2008"	"2008"	"Neoplasms"	"C00-D48"	15	6332	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	12	6445	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2011"	"2011"	"Neoplasms"	"C00-D48"	14	6380	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2012"	"2012"	"Neoplasms"	"C00-D48"	12	6356	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	13	6356	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2013"	"2013"	"Neoplasms"	"C00-D48"	13	6202	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	10	6202	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2014"	"2014"	"Neoplasms"	"C00-D48"	10	6102	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	10	6204	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	10	6102	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2017"	"2017"	"Neoplasms"	"C00-D48"	12	6064	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	12	6064	Unreliable
	"Multnomah County, OR"	"41051"	"45-54 years"	"45-54"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	13	5960	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"1999"	"1999"	"Neoplasms"	"C00-D48"	13	2611	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	12	2611	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	14	2656	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	15	2730	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2002"	"2002"	"Neoplasms"	"C00-D48"	12	2925	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	12	2925	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2003"	"2003"	"Neoplasms"	"C00-D48"	12	3109	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	12	3109	Unreliable
	"Multnomah County, OR"	"41051"	"55-64 years"	"55-64"	"2004"	"2004"	"Neoplasms"	"C00-D48"	16	3240	Unreliable
