"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"1999"	"1999"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	4680	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2000"	"2000"	"Certain conditions originating in the perinatal period"	"P00-P96"	20	4764	419.8
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2000"	"2000"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	11	4764	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2002"	"2002"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	4896	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2002"	"2002"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10	4896	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2003"	"2003"	"Certain conditions originating in the perinatal period"	"P00-P96"	13	4994	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2003"	"2003"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	12	4994	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2004"	"2004"	"Certain conditions originating in the perinatal period"	"P00-P96"	20	5111	391.3
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	13	5283	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2006"	"2006"	"Certain conditions originating in the perinatal period"	"P00-P96"	27	5609	481.4
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	25	5769	433.4
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2008"	"2008"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	5639	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2009"	"2009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	11	5213	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2011"	"2011"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	5032	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2013"	"2013"	"Certain conditions originating in the perinatal period"	"P00-P96"	11	5151	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2014"	"2014"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	5101	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2016"	"2016"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	5193	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2018"	"2018"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	5002	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	17	44087	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	23	44491	51.7
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	24	46470	51.6
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	27	46973	57.5
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	30	46896	64.0
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	21	47393	44.3
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	20	48597	41.2
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	17	50083	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	22	51335	42.9
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	22	52014	42.3
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	18	52092	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	26	52215	49.8
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	24	52632	45.6
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	19	53561	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	24	53981	44.5
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	27	54803	49.3
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	21	55961	37.5
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	38	56867	66.8
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	21	58614	35.8
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	33	60582	54.5
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	20	45979	43.5
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	23	47810	48.1
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	22	49379	44.6
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	17	50198	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	17	50693	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	24	51460	46.6
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	16	52997	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	25	54740	45.7
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	36	56534	63.7
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	22	57080	38.5
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	19	57748	Unreliable
