"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Baker County, OR"	"41001"	"55-64 years"	"55-64"	"2002"	"2002"	"Neoplasms"	"C00-D48"	11	2088	Unreliable
	"Baker County, OR"	"41001"	"55-64 years"	"55-64"	"2004"	"2004"	"Neoplasms"	"C00-D48"	11	2265	Unreliable
	"Baker County, OR"	"41001"	"55-64 years"	"55-64"	"2007"	"2007"	"Neoplasms"	"C00-D48"	16	2567	Unreliable
	"Baker County, OR"	"41001"	"55-64 years"	"55-64"	"2013"	"2013"	"Neoplasms"	"C00-D48"	12	2590	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"1999"	"1999"	"Neoplasms"	"C00-D48"	12	1613	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	19	1613	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2000"	"2000"	"Neoplasms"	"C00-D48"	12	1615	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2001"	"2001"	"Neoplasms"	"C00-D48"	13	1641	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	11	1641	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2002"	"2002"	"Neoplasms"	"C00-D48"	10	1641	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	11	1641	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2003"	"2003"	"Neoplasms"	"C00-D48"	10	1656	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	13	1656	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2004"	"2004"	"Neoplasms"	"C00-D48"	13	1661	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2006"	"2006"	"Neoplasms"	"C00-D48"	15	1790	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	12	1790	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2007"	"2007"	"Neoplasms"	"C00-D48"	11	1851	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2008"	"2008"	"Neoplasms"	"C00-D48"	12	1895	Unreliable
