"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"King County, WA"	"53033"	"< 1 year"	"1"	"1999"	"1999"	"Certain conditions originating in the perinatal period"	"P00-P96"	16	1934	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2001"	"2001"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	2210	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2002"	"2002"	"Certain conditions originating in the perinatal period"	"P00-P96"	13	2136	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2003"	"2003"	"Certain conditions originating in the perinatal period"	"P00-P96"	15	2267	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	11	2984	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2008"	"2008"	"Certain conditions originating in the perinatal period"	"P00-P96"	18	2959	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2011"	"2011"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	2670	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2012"	"2012"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	2553	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2013"	"2013"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	2593	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2015"	"2015"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	2664	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2016"	"2016"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	2683	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2017"	"2017"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	2631	Unreliable
	"King County, WA"	"53033"	"< 1 year"	"1"	"2018"	"2018"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	2664	Unreliable
	"King County, WA"	"53033"	"15-24 years"	"15-24"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	25	15930	156.9
	"King County, WA"	"53033"	"15-24 years"	"15-24"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	11	17300	Unreliable
