"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Adams County, WA"	"53001"	"65-74 years"	"65-74"	"2001"	"2001"	"Neoplasms"	"C00-D48"	11	915	Unreliable
	"Adams County, WA"	"53001"	"65-74 years"	"65-74"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	11	915	Unreliable
	"Adams County, WA"	"53001"	"65-74 years"	"65-74"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11	1336	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"1999"	"1999"	"Neoplasms"	"C00-D48"	10	547	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	14	547	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	17	577	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	16	589	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	15	599	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2003"	"2003"	"Neoplasms"	"C00-D48"	10	608	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	10	608	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	14	622	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	670	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	14	670	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	10	667	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	10	648	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	13	632	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	11	606	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2010"	"2010"	"Neoplasms"	"C00-D48"	10	603	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	13	603	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	10	602	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	10	565	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	10	590	Unreliable
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2017"	"2017"	"Neoplasms"	"C00-D48"	11	594	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	19	196	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	17	199	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	14	198	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	17	208	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	17	216	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	14	222	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	13	235	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	17	261	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	14	257	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	12	255	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	10	264	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	14	266	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	19	259	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	21	274	7664.2
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	15	282	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	23	259	8880.3
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	14	258	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	13	242	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	11	242	Unreliable
	"Asotin County, WA"	"53003"	"45-54 years"	"45-54"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	3141	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	10	2096	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2003"	"2003"	"Neoplasms"	"C00-D48"	10	2447	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2008"	"2008"	"Neoplasms"	"C00-D48"	11	2948	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2009"	"2009"	"Neoplasms"	"C00-D48"	13	3014	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2011"	"2011"	"Neoplasms"	"C00-D48"	10	3248	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2013"	"2013"	"Neoplasms"	"C00-D48"	10	3326	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	11	3412	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2015"	"2015"	"Neoplasms"	"C00-D48"	13	3468	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	10	3468	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2016"	"2016"	"Neoplasms"	"C00-D48"	10	3540	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"1999"	"1999"	"Neoplasms"	"C00-D48"	12	1650	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	12	1650	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"1999"	"1999"	"Diseases of the respiratory system"	"J00-J98"	10	1650	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	11	1652	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2001"	"2001"	"Neoplasms"	"C00-D48"	14	1662	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	11	1662	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	19	1712	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2003"	"2003"	"Neoplasms"	"C00-D48"	10	1751	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2004"	"2004"	"Neoplasms"	"C00-D48"	10	1810	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	12	1810	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	1893	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2006"	"2006"	"Neoplasms"	"C00-D48"	15	1988	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	12	1988	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	10	2098	Unreliable
