Geography,Label,Measure Names,Subpop,SubPop Group,Years,Max. Lower CL,Max. Percent,Max. Upper CL,Measure Values
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 18 to 24,2011,2.3,4.9,7.5,26.7
State,Used marijuana every day in the past 30 days,RSE,Age,Age 18 to 24,2011,,,,30
State,Tried to quit smoking in the past year,RSE,Age,Age 18 to 24,2011,55.3,68.3,81.4,9.7
State,Marijuana use in the past 30 days,RSE,Age,Age 18 to 24,2011,10.7,15.2,19.7,15
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 18 to 24,2011,,,,42.3
State,Ever used marijuana,RSE,Age,Age 18 to 24,2011,36.7,42.9,49.2,7.5
State,Current smokeless tobacco use,RSE,Age,Age 18 to 24,2011,2.2,4.1,6,24.1
State,Current cigarette smoking,RSE,Age,Age 18 to 24,2011,11.7,15.5,19.4,12.5
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 18 to 24,2011,2.3,4.9,7.5,7.5
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 18 to 24,2011,,,,
State,Tried to quit smoking in the past year,Upper CL,Age,Age 18 to 24,2011,55.3,68.3,81.4,81.4
State,Marijuana use in the past 30 days,Upper CL,Age,Age 18 to 24,2011,10.7,15.2,19.7,19.7
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 18 to 24,2011,,,,
State,Ever used marijuana,Upper CL,Age,Age 18 to 24,2011,36.7,42.9,49.2,49.2
State,Current smokeless tobacco use,Upper CL,Age,Age 18 to 24,2011,2.2,4.1,6,6
State,Current cigarette smoking,Upper CL,Age,Age 18 to 24,2011,11.7,15.5,19.4,19.4
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 18 to 24,2011,2.3,4.9,7.5,2.3
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 18 to 24,2011,,,,
State,Tried to quit smoking in the past year,Lower CL,Age,Age 18 to 24,2011,55.3,68.3,81.4,55.3
State,Marijuana use in the past 30 days,Lower CL,Age,Age 18 to 24,2011,10.7,15.2,19.7,10.7
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 18 to 24,2011,,,,
State,Ever used marijuana,Lower CL,Age,Age 18 to 24,2011,36.7,42.9,49.2,36.7
State,Current smokeless tobacco use,Lower CL,Age,Age 18 to 24,2011,2.2,4.1,6,2.2
State,Current cigarette smoking,Lower CL,Age,Age 18 to 24,2011,11.7,15.5,19.4,11.7
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 18 to 24,2011,2.3,4.9,7.5,4.9
State,Used marijuana every day in the past 30 days,Percent,Age,Age 18 to 24,2011,,,,
State,Tried to quit smoking in the past year,Percent,Age,Age 18 to 24,2011,55.3,68.3,81.4,68.3
State,Marijuana use in the past 30 days,Percent,Age,Age 18 to 24,2011,10.7,15.2,19.7,15.2
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 18 to 24,2011,,,,
State,Ever used marijuana,Percent,Age,Age 18 to 24,2011,36.7,42.9,49.2,42.9
State,Current smokeless tobacco use,Percent,Age,Age 18 to 24,2011,2.2,4.1,6,4.1
State,Current cigarette smoking,Percent,Age,Age 18 to 24,2011,11.7,15.5,19.4,15.5
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 25 to 34,2011,3.3,5.8,8.2,22
State,Used marijuana every day in the past 30 days,RSE,Age,Age 25 to 34,2011,2.1,4.4,6.6,25.9
State,Tried to quit smoking in the past year,RSE,Age,Age 25 to 34,2011,57.9,66.1,74.2,6.3
State,Marijuana use in the past 30 days,RSE,Age,Age 25 to 34,2011,11.9,15.8,19.7,12.6
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 25 to 34,2011,,,,46.4
State,Ever used marijuana,RSE,Age,Age 25 to 34,2011,52.1,56.9,61.7,4.3
State,Current smokeless tobacco use,RSE,Age,Age 25 to 34,2011,3.4,5.5,7.5,19.1
State,Current cigarette smoking,RSE,Age,Age 25 to 34,2011,23.4,27.2,31.1,7.2
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 25 to 34,2011,3.3,5.8,8.2,8.2
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 25 to 34,2011,2.1,4.4,6.6,6.6
State,Tried to quit smoking in the past year,Upper CL,Age,Age 25 to 34,2011,57.9,66.1,74.2,74.2
State,Marijuana use in the past 30 days,Upper CL,Age,Age 25 to 34,2011,11.9,15.8,19.7,19.7
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 25 to 34,2011,,,,
State,Ever used marijuana,Upper CL,Age,Age 25 to 34,2011,52.1,56.9,61.7,61.7
State,Current smokeless tobacco use,Upper CL,Age,Age 25 to 34,2011,3.4,5.5,7.5,7.5
State,Current cigarette smoking,Upper CL,Age,Age 25 to 34,2011,23.4,27.2,31.1,31.1
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 25 to 34,2011,3.3,5.8,8.2,3.3
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 25 to 34,2011,2.1,4.4,6.6,2.1
State,Tried to quit smoking in the past year,Lower CL,Age,Age 25 to 34,2011,57.9,66.1,74.2,57.9
State,Marijuana use in the past 30 days,Lower CL,Age,Age 25 to 34,2011,11.9,15.8,19.7,11.9
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 25 to 34,2011,,,,
State,Ever used marijuana,Lower CL,Age,Age 25 to 34,2011,52.1,56.9,61.7,52.1
State,Current smokeless tobacco use,Lower CL,Age,Age 25 to 34,2011,3.4,5.5,7.5,3.4
State,Current cigarette smoking,Lower CL,Age,Age 25 to 34,2011,23.4,27.2,31.1,23.4
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 25 to 34,2011,3.3,5.8,8.2,5.8
State,Used marijuana every day in the past 30 days,Percent,Age,Age 25 to 34,2011,2.1,4.4,6.6,4.4
State,Tried to quit smoking in the past year,Percent,Age,Age 25 to 34,2011,57.9,66.1,74.2,66.1
State,Marijuana use in the past 30 days,Percent,Age,Age 25 to 34,2011,11.9,15.8,19.7,15.8
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 25 to 34,2011,,,,
State,Ever used marijuana,Percent,Age,Age 25 to 34,2011,52.1,56.9,61.7,56.9
State,Current smokeless tobacco use,Percent,Age,Age 25 to 34,2011,3.4,5.5,7.5,5.5
State,Current cigarette smoking,Percent,Age,Age 25 to 34,2011,23.4,27.2,31.1,27.2
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 35 to 44,2011,1.1,2.1,3.2,24.8
State,Used marijuana every day in the past 30 days,RSE,Age,Age 35 to 44,2011,,,,30.8
State,Tried to quit smoking in the past year,RSE,Age,Age 35 to 44,2011,49.5,57.8,66.2,7.4
State,Marijuana use in the past 30 days,RSE,Age,Age 35 to 44,2011,4.4,6.3,8.2,15.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 35 to 44,2011,4,9.2,14.5,29.1
State,Ever used marijuana,RSE,Age,Age 35 to 44,2011,46.8,50.8,54.7,4
State,Current smokeless tobacco use,RSE,Age,Age 35 to 44,2011,3.9,5.8,7.6,16.2
State,Current cigarette smoking,RSE,Age,Age 35 to 44,2011,14.6,17.3,20,7.8
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 35 to 44,2011,1.1,2.1,3.2,3.2
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 35 to 44,2011,,,,
State,Tried to quit smoking in the past year,Upper CL,Age,Age 35 to 44,2011,49.5,57.8,66.2,66.2
State,Marijuana use in the past 30 days,Upper CL,Age,Age 35 to 44,2011,4.4,6.3,8.2,8.2
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 35 to 44,2011,4,9.2,14.5,14.5
State,Ever used marijuana,Upper CL,Age,Age 35 to 44,2011,46.8,50.8,54.7,54.7
State,Current smokeless tobacco use,Upper CL,Age,Age 35 to 44,2011,3.9,5.8,7.6,7.6
State,Current cigarette smoking,Upper CL,Age,Age 35 to 44,2011,14.6,17.3,20,20
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 35 to 44,2011,1.1,2.1,3.2,1.1
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 35 to 44,2011,,,,
State,Tried to quit smoking in the past year,Lower CL,Age,Age 35 to 44,2011,49.5,57.8,66.2,49.5
State,Marijuana use in the past 30 days,Lower CL,Age,Age 35 to 44,2011,4.4,6.3,8.2,4.4
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 35 to 44,2011,4,9.2,14.5,4
State,Ever used marijuana,Lower CL,Age,Age 35 to 44,2011,46.8,50.8,54.7,46.8
State,Current smokeless tobacco use,Lower CL,Age,Age 35 to 44,2011,3.9,5.8,7.6,3.9
State,Current cigarette smoking,Lower CL,Age,Age 35 to 44,2011,14.6,17.3,20,14.6
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 35 to 44,2011,1.1,2.1,3.2,2.1
State,Used marijuana every day in the past 30 days,Percent,Age,Age 35 to 44,2011,,,,
State,Tried to quit smoking in the past year,Percent,Age,Age 35 to 44,2011,49.5,57.8,66.2,57.8
State,Marijuana use in the past 30 days,Percent,Age,Age 35 to 44,2011,4.4,6.3,8.2,6.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 35 to 44,2011,4,9.2,14.5,9.2
State,Ever used marijuana,Percent,Age,Age 35 to 44,2011,46.8,50.8,54.7,50.8
State,Current smokeless tobacco use,Percent,Age,Age 35 to 44,2011,3.9,5.8,7.6,5.8
State,Current cigarette smoking,Percent,Age,Age 35 to 44,2011,14.6,17.3,20,17.3
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 45 to 54,2011,1.4,2.4,3.4,21.1
State,Used marijuana every day in the past 30 days,RSE,Age,Age 45 to 54,2011,,,,30.7
State,Tried to quit smoking in the past year,RSE,Age,Age 45 to 54,2011,48.2,55.6,63.1,6.8
State,Marijuana use in the past 30 days,RSE,Age,Age 45 to 54,2011,5.4,7.1,8.8,12.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 45 to 54,2011,,,,37
State,Ever used marijuana,RSE,Age,Age 45 to 54,2011,53.2,56.5,59.8,3
State,Current smokeless tobacco use,RSE,Age,Age 45 to 54,2011,2,3,4.1,16.8
State,Current cigarette smoking,RSE,Age,Age 45 to 54,2011,17.2,19.8,22.3,6.6
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 45 to 54,2011,1.4,2.4,3.4,3.4
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 45 to 54,2011,,,,
State,Tried to quit smoking in the past year,Upper CL,Age,Age 45 to 54,2011,48.2,55.6,63.1,63.1
State,Marijuana use in the past 30 days,Upper CL,Age,Age 45 to 54,2011,5.4,7.1,8.8,8.8
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 45 to 54,2011,,,,
State,Ever used marijuana,Upper CL,Age,Age 45 to 54,2011,53.2,56.5,59.8,59.8
State,Current smokeless tobacco use,Upper CL,Age,Age 45 to 54,2011,2,3,4.1,4.1
State,Current cigarette smoking,Upper CL,Age,Age 45 to 54,2011,17.2,19.8,22.3,22.3
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 45 to 54,2011,1.4,2.4,3.4,1.4
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 45 to 54,2011,,,,
State,Tried to quit smoking in the past year,Lower CL,Age,Age 45 to 54,2011,48.2,55.6,63.1,48.2
State,Marijuana use in the past 30 days,Lower CL,Age,Age 45 to 54,2011,5.4,7.1,8.8,5.4
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 45 to 54,2011,,,,
State,Ever used marijuana,Lower CL,Age,Age 45 to 54,2011,53.2,56.5,59.8,53.2
State,Current smokeless tobacco use,Lower CL,Age,Age 45 to 54,2011,2,3,4.1,2
State,Current cigarette smoking,Lower CL,Age,Age 45 to 54,2011,17.2,19.8,22.3,17.2
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 45 to 54,2011,1.4,2.4,3.4,2.4
State,Used marijuana every day in the past 30 days,Percent,Age,Age 45 to 54,2011,,,,
State,Tried to quit smoking in the past year,Percent,Age,Age 45 to 54,2011,48.2,55.6,63.1,55.6
State,Marijuana use in the past 30 days,Percent,Age,Age 45 to 54,2011,5.4,7.1,8.8,7.1
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 45 to 54,2011,,,,
State,Ever used marijuana,Percent,Age,Age 45 to 54,2011,53.2,56.5,59.8,56.5
State,Current smokeless tobacco use,Percent,Age,Age 45 to 54,2011,2,3,4.1,3
State,Current cigarette smoking,Percent,Age,Age 45 to 54,2011,17.2,19.8,22.3,19.8
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 55 to 64,2011,1.1,1.7,2.2,17.3
State,Used marijuana every day in the past 30 days,RSE,Age,Age 55 to 64,2011,0.8,1.3,1.8,20.2
State,Tried to quit smoking in the past year,RSE,Age,Age 55 to 64,2011,52.7,59,65.3,5.5
State,Marijuana use in the past 30 days,RSE,Age,Age 55 to 64,2011,4.3,5.5,6.6,10.5
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 55 to 64,2011,1.1,2,2.9,23.9
State,Ever used marijuana,RSE,Age,Age 55 to 64,2011,49.6,52.3,55.1,2.7
State,Current smokeless tobacco use,RSE,Age,Age 55 to 64,2011,1,1.5,2,16.7
State,Current cigarette smoking,RSE,Age,Age 55 to 64,2011,13,14.7,16.4,6
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 55 to 64,2011,1.1,1.7,2.2,2.2
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 55 to 64,2011,0.8,1.3,1.8,1.8
State,Tried to quit smoking in the past year,Upper CL,Age,Age 55 to 64,2011,52.7,59,65.3,65.3
State,Marijuana use in the past 30 days,Upper CL,Age,Age 55 to 64,2011,4.3,5.5,6.6,6.6
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 55 to 64,2011,1.1,2,2.9,2.9
State,Ever used marijuana,Upper CL,Age,Age 55 to 64,2011,49.6,52.3,55.1,55.1
State,Current smokeless tobacco use,Upper CL,Age,Age 55 to 64,2011,1,1.5,2,2
State,Current cigarette smoking,Upper CL,Age,Age 55 to 64,2011,13,14.7,16.4,16.4
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 55 to 64,2011,1.1,1.7,2.2,1.1
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 55 to 64,2011,0.8,1.3,1.8,0.8
State,Tried to quit smoking in the past year,Lower CL,Age,Age 55 to 64,2011,52.7,59,65.3,52.7
State,Marijuana use in the past 30 days,Lower CL,Age,Age 55 to 64,2011,4.3,5.5,6.6,4.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 55 to 64,2011,1.1,2,2.9,1.1
State,Ever used marijuana,Lower CL,Age,Age 55 to 64,2011,49.6,52.3,55.1,49.6
State,Current smokeless tobacco use,Lower CL,Age,Age 55 to 64,2011,1,1.5,2,1
State,Current cigarette smoking,Lower CL,Age,Age 55 to 64,2011,13,14.7,16.4,13
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 55 to 64,2011,1.1,1.7,2.2,1.7
State,Used marijuana every day in the past 30 days,Percent,Age,Age 55 to 64,2011,0.8,1.3,1.8,1.3
State,Tried to quit smoking in the past year,Percent,Age,Age 55 to 64,2011,52.7,59,65.3,59
State,Marijuana use in the past 30 days,Percent,Age,Age 55 to 64,2011,4.3,5.5,6.6,5.5
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 55 to 64,2011,1.1,2,2.9,2
State,Ever used marijuana,Percent,Age,Age 55 to 64,2011,49.6,52.3,55.1,52.3
State,Current smokeless tobacco use,Percent,Age,Age 55 to 64,2011,1,1.5,2,1.5
State,Current cigarette smoking,Percent,Age,Age 55 to 64,2011,13,14.7,16.4,14.7
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 65 or older,2011,,,,46.8
State,Used marijuana every day in the past 30 days,RSE,Age,Age 65 or older,2011,,,,46.8
State,Tried to quit smoking in the past year,RSE,Age,Age 65 or older,2011,40.6,48.9,57.2,8.7
State,Marijuana use in the past 30 days,RSE,Age,Age 65 or older,2011,0.3,0.7,1,25.1
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 65 or older,2011,,,,35
State,Ever used marijuana,RSE,Age,Age 65 or older,2011,15.6,17.4,19.2,5.3
State,Current smokeless tobacco use,RSE,Age,Age 65 or older,2011,0.7,1.1,1.5,19.7
State,Current cigarette smoking,RSE,Age,Age 65 or older,2011,6.3,7.5,8.7,8
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 65 or older,2011,,,,
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 65 or older,2011,,,,
State,Tried to quit smoking in the past year,Upper CL,Age,Age 65 or older,2011,40.6,48.9,57.2,57.2
State,Marijuana use in the past 30 days,Upper CL,Age,Age 65 or older,2011,0.3,0.7,1,1
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 65 or older,2011,,,,
State,Ever used marijuana,Upper CL,Age,Age 65 or older,2011,15.6,17.4,19.2,19.2
State,Current smokeless tobacco use,Upper CL,Age,Age 65 or older,2011,0.7,1.1,1.5,1.5
State,Current cigarette smoking,Upper CL,Age,Age 65 or older,2011,6.3,7.5,8.7,8.7
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 65 or older,2011,,,,
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 65 or older,2011,,,,
State,Tried to quit smoking in the past year,Lower CL,Age,Age 65 or older,2011,40.6,48.9,57.2,40.6
State,Marijuana use in the past 30 days,Lower CL,Age,Age 65 or older,2011,0.3,0.7,1,0.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 65 or older,2011,,,,
State,Ever used marijuana,Lower CL,Age,Age 65 or older,2011,15.6,17.4,19.2,15.6
State,Current smokeless tobacco use,Lower CL,Age,Age 65 or older,2011,0.7,1.1,1.5,0.7
State,Current cigarette smoking,Lower CL,Age,Age 65 or older,2011,6.3,7.5,8.7,6.3
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 65 or older,2011,,,,
State,Used marijuana every day in the past 30 days,Percent,Age,Age 65 or older,2011,,,,
State,Tried to quit smoking in the past year,Percent,Age,Age 65 or older,2011,40.6,48.9,57.2,48.9
State,Marijuana use in the past 30 days,Percent,Age,Age 65 or older,2011,0.3,0.7,1,0.7
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 65 or older,2011,,,,
State,Ever used marijuana,Percent,Age,Age 65 or older,2011,15.6,17.4,19.2,17.4
State,Current smokeless tobacco use,Percent,Age,Age 65 or older,2011,0.7,1.1,1.5,1.1
State,Current cigarette smoking,Percent,Age,Age 65 or older,2011,6.3,7.5,8.7,7.5
State,Used marijuana on 20 or more days in the past 30 days,RSE,Annual Household Income (V1),"Less than $35,000",2011,2.8,4,5.3,15.9
State,Used marijuana every day in the past 30 days,RSE,Annual Household Income (V1),"Less than $35,000",2011,1.9,3,4.1,18.9
State,Tried to quit smoking in the past year,RSE,Annual Household Income (V1),"Less than $35,000",2011,61.1,66.2,71.3,3.9
State,Marijuana use in the past 30 days,RSE,Annual Household Income (V1),"Less than $35,000",2011,9.1,11.1,13.1,9.2
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Annual Household Income (V1),"Less than $35,000",2011,3.5,6.5,9.5,23.6
State,Ever used marijuana,RSE,Annual Household Income (V1),"Less than $35,000",2011,42.7,45.7,48.6,3.3
