"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	14	20282	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	11	21517	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	10	21561	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	11	21225	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	10	20316	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	10	19605	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	11	19214	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	14	19166	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	10	19602	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	12	20017	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	12	23681	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	11	24163	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	16	24834	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	19	25216	Unreliable
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	20	24799	80.6
	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	16	24323	Unreliable
	"Anchorage Borough, AK"	"02020"	"35-44 years"	"35-44"	"1999"	"1999"	"Neoplasms"	"C00-D48"	10	24688	Unreliable
	"Anchorage Borough, AK"	"02020"	"35-44 years"	"35-44"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	10	24688	Unreliable
	"Anchorage Borough, AK"	"02020"	"35-44 years"	"35-44"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	14	24193	Unreliable
