"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Anchorage Borough, AK"	"02020"	"< 1 year"	"1"	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	2288	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	18	19240	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	15	19300	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	18	20491	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	17	21528	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	20	22228	90.0
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	35	23403	149.6
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	23	24223	95.0
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	27	24785	108.9
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	30	23953	125.2
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	17	24327	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	15	23455	Unreliable
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	23	24049	95.6
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	22	24243	90.7
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	22	24950	88.2
	"Anchorage Borough, AK"	"02020"	"15-24 years"	"15-24"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	24	26202	91.6
