"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2006"	"2006"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	2703	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	11	2803	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	10	27356	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	10	24578	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	12	27946	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	15	30473	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	10	31326	Unreliable
	"Ada County, ID"	"16001"	"25-34 years"	"25-34"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	19	31877	Unreliable
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	10	24602	Unreliable
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	11	25243	Unreliable
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	15	26994	Unreliable
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"2011"	"2011"	"Neoplasms"	"C00-D48"	12	27578	Unreliable
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	10	28064	Unreliable
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	16	29052	Unreliable
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	21	29848	70.4
	"Ada County, ID"	"16001"	"35-44 years"	"35-44"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	13	32525	Unreliable
