"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2000"	"2000"	"Certain conditions originating in the perinatal period"	"P00-P96"	12	2410	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2004"	"2004"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	2658	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	10	2698	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2006"	"2006"	"Certain conditions originating in the perinatal period"	"P00-P96"	13	2906	Unreliable
	"Ada County, ID"	"16001"	"< 1 year"	"1"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	2966	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	14	22367	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	19	22610	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	18	23659	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	22	23962	91.8
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	21	24094	87.2
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	18	24291	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	18	25032	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	16	25719	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	14	26370	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	13	26715	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	19	26684	Unreliable
	"Ada County, ID"	"16001"	"15-24 years"	"15-24"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	19	26998	Unreliable
