"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	15	642	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2000"	"2000"	"Neoplasms"	"C00-D48"	10	643	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	10	643	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	12	617	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	10	606	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	13	611	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	577	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	13	577	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	10	601	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2015"	"2015"	"Neoplasms"	"C00-D48"	10	642	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2016"	"2016"	"Neoplasms"	"C00-D48"	10	657	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11	678	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	20	294	6802.7
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	17	298	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	19	304	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	13	301	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	19	304	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	19	305	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2005"	"2005"	"Diseases of the nervous system"	"G00-G98"	10	291	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	15	291	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	14	293	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	21	287	7317.1
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	11	284	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	16	277	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	22	280	7857.1
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	13	266	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	25	269	9293.7
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	14	281	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	18	281	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	13	280	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	10	257	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	12	265	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	18	259	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	3918	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2007"	"2007"	"Neoplasms"	"C00-D48"	13	4544	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2008"	"2008"	"Neoplasms"	"C00-D48"	10	4859	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2009"	"2009"	"Neoplasms"	"C00-D48"	10	5123	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2010"	"2010"	"Neoplasms"	"C00-D48"	11	5346	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2011"	"2011"	"Neoplasms"	"C00-D48"	10	5598	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2012"	"2012"	"Neoplasms"	"C00-D48"	18	5738	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2014"	"2014"	"Neoplasms"	"C00-D48"	16	5772	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2016"	"2016"	"Neoplasms"	"C00-D48"	15	5830	Unreliable
	"Benton County, OR"	"41003"	"55-64 years"	"55-64"	"2018"	"2018"	"Neoplasms"	"C00-D48"	17	5688	Unreliable
	"Benton County, OR"	"41003"	"65-74 years"	"65-74"	"1999"	"1999"	"Neoplasms"	"C00-D48"	13	2180	Unreliable
