"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Baker County, OR"	"41001"	"55-64 years"	"55-64"	"2002"	"2002"	"Neoplasms"	"C00-D48"	10	1044	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	11	798	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2006"	"2006"	"Neoplasms"	"C00-D48"	10	893	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	10	1000	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2011"	"2011"	"Neoplasms"	"C00-D48"	11	1003	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	11	1003	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	10	1165	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	11	1178	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11	1205	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	13	470	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	13	473	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2001"	"2001"	"Neoplasms"	"C00-D48"	10	464	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	19	464	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	11	474	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	19	517	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2005"	"2005"	"Neoplasms"	"C00-D48"	18	510	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	10	520	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2007"	"2007"	"Neoplasms"	"C00-D48"	15	519	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2008"	"2008"	"Neoplasms"	"C00-D48"	13	530	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2009"	"2009"	"Neoplasms"	"C00-D48"	12	526	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	17	535	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	13	553	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2012"	"2012"	"Neoplasms"	"C00-D48"	12	542	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	13	542	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2013"	"2013"	"Neoplasms"	"C00-D48"	11	564	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	12	564	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	13	602	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	12	635	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	11	654	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11	659	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	10	659	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	13	141	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	11	140	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	14	139	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	11	137	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	12	130	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	10	137	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	13	161	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	11	213	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	14	222	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	16	208	Unreliable
