"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	15	642	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2000"	"2000"	"Neoplasms"	"C00-D48"	10	640	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	10	640	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	12	614	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	10	603	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	13	606	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	571	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	13	571	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	10	590	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2015"	"2015"	"Neoplasms"	"C00-D48"	10	630	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2016"	"2016"	"Neoplasms"	"C00-D48"	10	642	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11	663	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	20	294	6802.7
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	17	297	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	19	303	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	13	300	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	19	303	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	19	304	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2005"	"2005"	"Diseases of the nervous system"	"G00-G98"	10	289	Unreliable
	"Baker County, OR"	"41001"	"85+ years"	"85+"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	15	289	Unreliable
