"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Baker County, OR"	"41001"	"55-64 years"	"55-64"	"2002"	"2002"	"Neoplasms"	"C00-D48"	10	1025	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	11	797	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2006"	"2006"	"Neoplasms"	"C00-D48"	10	886	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	10	991	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2011"	"2011"	"Neoplasms"	"C00-D48"	11	991	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	10	991	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	10	1134	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	11	1145	Unreliable
	"Baker County, OR"	"41001"	"65-74 years"	"65-74"	"2018"	"2018"	"Neoplasms"	"C00-D48"	10	1174	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	13	470	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	13	467	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2001"	"2001"	"Neoplasms"	"C00-D48"	10	458	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	19	458	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	11	467	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	18	509	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2005"	"2005"	"Neoplasms"	"C00-D48"	18	507	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	10	516	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2007"	"2007"	"Neoplasms"	"C00-D48"	15	514	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2008"	"2008"	"Neoplasms"	"C00-D48"	13	526	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2009"	"2009"	"Neoplasms"	"C00-D48"	12	521	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	16	530	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	13	549	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2012"	"2012"	"Neoplasms"	"C00-D48"	12	537	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	12	537	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2013"	"2013"	"Neoplasms"	"C00-D48"	11	557	Unreliable
	"Baker County, OR"	"41001"	"75-84 years"	"75-84"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	12	557	Unreliable
