"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	10	326	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	11	138	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	13	146	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	11	172	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	11	170	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	10	173	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	13	167	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	11	173	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	11	168	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	13	152	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	10	147	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	10	136	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2008"	"2008"	"Neoplasms"	"C00-D48"	11	1123	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2009"	"2009"	"Neoplasms"	"C00-D48"	11	1135	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11	1503	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"1999"	"1999"	"Neoplasms"	"C00-D48"	10	720	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	10	720	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	12	724	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2001"	"2001"	"Neoplasms"	"C00-D48"	10	721	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	14	721	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	20	688	2907.0
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2003"	"2003"	"Neoplasms"	"C00-D48"	10	681	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	14	681	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	11	728	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2009"	"2009"	"Neoplasms"	"C00-D48"	13	750	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	10	750	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	10	748	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2011"	"2011"	"Neoplasms"	"C00-D48"	13	742	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2012"	"2012"	"Neoplasms"	"C00-D48"	14	740	Unreliable
