"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	10	320	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	11	137	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	13	145	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	10	169	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	11	167	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	10	170	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	13	164	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	10	169	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	11	163	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	13	147	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	10	142	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	10	134	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2008"	"2008"	"Neoplasms"	"C00-D48"	10	1109	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2009"	"2009"	"Neoplasms"	"C00-D48"	11	1120	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11	1463	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"1999"	"1999"	"Neoplasms"	"C00-D48"	10	720	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	10	720	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	12	723	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2001"	"2001"	"Neoplasms"	"C00-D48"	10	720	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	14	720	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	20	687	2911.2
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2003"	"2003"	"Neoplasms"	"C00-D48"	10	680	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	14	680	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	11	722	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2009"	"2009"	"Neoplasms"	"C00-D48"	13	742	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	10	742	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	10	740	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2011"	"2011"	"Neoplasms"	"C00-D48"	13	734	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2012"	"2012"	"Neoplasms"	"C00-D48"	14	730	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	11	733	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	17	900	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	30	373	8042.9
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"1999"	"1999"	"Diseases of the respiratory system"	"J00-J98"	10	373	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	21	378	5555.6
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	17	369	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	25	381	6561.7
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the nervous system"	"G00-G98"	10	377	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	17	377	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	14	372	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	346	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	23	346	6647.4
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	16	340	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	27	362	7458.6
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	19	362	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	22	327	6727.8
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	10	328	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	23	342	6725.1
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	25	342	7309.9
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	14	345	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	13	356	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	19	336	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	12	344	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	15	337	Unreliable
	"Asotin County, WA"	"53003"	"85+ years"	"85+"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	13	356	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"1999"	"1999"	"Neoplasms"	"C00-D48"	18	9324	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2000"	"2000"	"Neoplasms"	"C00-D48"	10	9596	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2003"	"2003"	"Neoplasms"	"C00-D48"	11	10814	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	13	10814	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2005"	"2005"	"Neoplasms"	"C00-D48"	10	11389	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2006"	"2006"	"Neoplasms"	"C00-D48"	16	11550	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	12	11550	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2007"	"2007"	"Neoplasms"	"C00-D48"	11	11581	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2009"	"2009"	"Neoplasms"	"C00-D48"	12	11832	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2010"	"2010"	"Neoplasms"	"C00-D48"	11	11876	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2011"	"2011"	"Neoplasms"	"C00-D48"	17	11940	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2012"	"2012"	"Neoplasms"	"C00-D48"	13	11838	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2013"	"2013"	"Neoplasms"	"C00-D48"	13	11516	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2014"	"2014"	"Neoplasms"	"C00-D48"	14	11324	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	14	11212	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	11	11025	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	10	11025	Unreliable
	"Benton County, WA"	"53005"	"45-54 years"	"45-54"	"2017"	"2017"	"Neoplasms"	"C00-D48"	10	10837	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"1999"	"1999"	"Neoplasms"	"C00-D48"	17	5556	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	10	5556	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2000"	"2000"	"Neoplasms"	"C00-D48"	22	5714	385.0
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	10	5714	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2001"	"2001"	"Neoplasms"	"C00-D48"	23	6008	382.8
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	14	6008	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2002"	"2002"	"Neoplasms"	"C00-D48"	17	6534	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2003"	"2003"	"Neoplasms"	"C00-D48"	19	6935	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2004"	"2004"	"Neoplasms"	"C00-D48"	15	7253	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2005"	"2005"	"Neoplasms"	"C00-D48"	25	7718	323.9
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2006"	"2006"	"Neoplasms"	"C00-D48"	26	8120	320.2
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	11	8120	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2007"	"2007"	"Neoplasms"	"C00-D48"	24	8614	278.6
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	17	8614	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2008"	"2008"	"Neoplasms"	"C00-D48"	22	9154	240.3
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	16	9154	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2009"	"2009"	"Neoplasms"	"C00-D48"	28	9659	289.9
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2010"	"2010"	"Neoplasms"	"C00-D48"	28	10042	278.8
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	11	10042	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2011"	"2011"	"Neoplasms"	"C00-D48"	26	10716	242.6
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2012"	"2012"	"Neoplasms"	"C00-D48"	26	10866	239.3
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	10	10866	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2013"	"2013"	"Neoplasms"	"C00-D48"	27	10955	246.5
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	16	10955	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2014"	"2014"	"Neoplasms"	"C00-D48"	22	11199	196.4
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2014"	"2014"	"Diseases of the circulatory system"	"I00-I99"	13	11199	Unreliable
	"Benton County, WA"	"53005"	"55-64 years"	"55-64"	"2015"	"2015"	"Neoplasms"	"C00-D48"	16	11392	Unreliable
