"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Adams County, WA"	"53001"	"75-84 years"	"75-84"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	11	307	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	10	61	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	10	101	Unreliable
	"Adams County, WA"	"53001"	"85+ years"	"85+"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	10	106	Unreliable
	"Asotin County, WA"	"53003"	"55-64 years"	"55-64"	"2009"	"2009"	"Neoplasms"	"C00-D48"	11	1424	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	10	801	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2008"	"2008"	"Neoplasms"	"C00-D48"	14	1055	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	11	1152	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2014"	"2014"	"Neoplasms"	"C00-D48"	10	1208	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2015"	"2015"	"Neoplasms"	"C00-D48"	12	1229	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2016"	"2016"	"Neoplasms"	"C00-D48"	11	1282	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2017"	"2017"	"Neoplasms"	"C00-D48"	14	1343	Unreliable
	"Asotin County, WA"	"53003"	"65-74 years"	"65-74"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	12	1362	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"1999"	"1999"	"Neoplasms"	"C00-D48"	12	472	Unreliable
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	20	472	4237.3
	"Asotin County, WA"	"53003"	"75-84 years"	"75-84"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	10	467	Unreliable
